source_lemma,target_translation
evidence obyvatelstva,civil registration
evidence sbírkových předmětů,regisry of collection objects
evolucionistická antropologie,evolutionistic anthropology
evolucionistická archeologie,evolutionary archaeology
evoluční antropologie,evolutionary anthropology
evoluční genetika,evolutionary genetics
evoluční paleobiologie,evolutionary paleobiology
evropocentrismus,Eurocentrism
exarcha,Exarch
exedra,exedra
exegeze,exegesis
exkomunikace,excommunication
experimentální archeologie,experimental archaeology
expertní analýza,expert analysis
expertní posudek,expert report
expresionismus (umění),expressionism (art)
extenzivní zemědělství,extensive agriculture
exómis,exomis
faerské ostrovy,Faroe Islands (the)
fajáns,faience
fakelore,fakelore
faksimile,facsimile
faktorová analýza,factor analysis
falc rýnská,Palatinate
faleristika,faleristics
falklandy (malvíny),Falkland Islands (the) (Malvinas)
falzifikát,forgery
faléra,phalera
fara,rectory
farnost,parish
farní kronika,parochial chronicle
farář,priest
farářka,woman priest
fasces,fasces
fauvismus (umění),fauvism
feministická geografie,feminist geography
fenomenologie náboženství,phenomenology of religion
ferrotypie,ferrotype
fetiš,fetish
fetišismus,Fetishism
feudalismus,feudalism
fialé,phiale
fidži,Fiji
figurální plastika,statue
filigrán (papír),watermark
filigrán (šperkařství),filigree (jewelry)
filipíny,Philippines (the)
filosofická antropologie,philosophical anthropology
filozofie náboženství,philosophy of religion
filozofie války,philosophy of war
finové,Finns
finsko,Finland
finština,Finnish
flandry,County of Flanders
florén,florin
fluviální geomorfologie,fluvial geomorphology
fluviální sediment,fluviatile sediment
foiníkie,Phoenicia
folklor,folklore
folklorismus,folklorismus
folklorista,folklorist
folkloristika,folkloristics
folklorní hnutí,folklore movement
folklorní repertoár,collective repertoire
folklorní slavnost,folklore festivity
fontána,fountain
forenzní antropologie,forensic anthropology
forma (estetika,form (aesthetics)
forminx,phorminx
formulářová sbírka,formulary
fosfátová analýza,phosphate analysis
fosilie,fossil
fosilní hmyz,fossil insect
fosilní měkkýš,fossil mollusks
fosilní pyl,fossil pollen
fosilní savec,fossil mammal
fosilní spóra,fossil spore
fosilní červ,fossil worm
fosilní člověk,fossil man
fosilní živočich,fossil animal
fotografická dokumentace,photodocumentation
fotografie,photography
fotografie barevná,colour photograph
fotografie diapozitivy,photoslides
fotografie jiné/osobní,other/personal photographs
fotografie konzervace,photograph of conservation
fotografie krajiny,photograph of landscape
fotografie letecké (diapozitivy),aerial photoslides
fotografie letecké (digitální),aerial photographs (digital)
fotografie letecké (negativy),aerial photographs (negatives)
fotografie lokality,photograph of site
fotografie objektu,photograph of feature
fotografie osobní,photograph of person
fotografie pracovní,photograph of fieldwork
fotografie předmětu,photograph of object
fotografie předmětů,photographs of objects
fotografie předmětů (digitální),photographs of objects (digital)
fotografie terénu,photographs of fieldwork
fotografie terénu (digitální),photographs of fieldwork (digital)
fotografie události,photograph of event
fotografie výzkumu/sondy,photograph of excavation/trench
fotografie černobílá,black-and-white photograph
fotoplán,photogrammetric plan
fragmentarizace (archeologická transformace),fragmentarization (archaeological transformation)
fragmenty rukopisů,manuscript fragments
fraktura (písmo),black letter
francie,France
francouzská guyana,French Guiana
francouzská jižní a antarktická území,French Southern Territories (the)
francouzská polynésie,French Polynesia
francouzština,French
frankové,Franks
franky,Franconia
franská říše,Francia
františkáni,Franciscans
františkánská spiritualita,Franciscan spirituality
františkánský klášter,Franciscan monastery
freska,frescoe
frísko,Friesland
frísové,Frisians
fríština,Frisian language
frýgie,Phrygia
frýgové,Phrygians
funkce (města),function (town)
funkce řádů,function of the orders
funkcionalistická antropologie,functionalist anthropology
funkčně nespecifikovaný předmět,unassigned
funkčně neurčený předmět,object of unspecified function
furlandsko,Friuli
futurismus (umění),futurism (art)
fylogeografie,phylogeography
fytolit,phytolith
fytolitová analýza,phytological analysis
fyzickogeografické podmínky,physical-geographical conditions
fyzická antropologie,physical anthropology
fyzická geografie,physical geography
féničané,Phoenicians
fókis,Phocis
fórum,forum
gabon,Gabon
gaelština,Gaelic
galacie,Galatia
galatové,Galatians
galerijní pedagogika,gallery education
galicie,Galicia
galie,Gaul
galileo (navigační systém),Galileo (navigation system)
galo-románi,Gallo-Romans
galorománská kultura,Gallo-Roman culture
galové,Gauls
galské císařství,Gallic Empire
galské války (58-51 př. kr.),Gallic War
gambie,Gambia (the)
gandhára (pákistán a afghánistán),Gandhara
garum,garum
gaskoňsko,Gascony
gatekeeper,gatekeeper
gem,gemstone
gemma,gem
genealogie,genealogy
genesis,Book of Genesis
genetika,genetics
genetika rostlin,plant genetics
genetika člověka,human genetics
genetika živočichů,animal genetics
genius loci,genius loci
geoarcheologická analýza,geoarchaeological analysis
geoarcheologie,geoarchaeology
geochemická metoda,geochemical prospecting method
geochemický průzkum,geochemical survey
geochemie,geochemistry
geochronologie,geochronology
geodetické měření,geodetic measurement
geodetický průzkum,geodetic survey
geodetický přístroj,geodetical instrument
geodezie,geodesy
geoelektrický průzkum,electric prospecting
geofyzika,geophysics
geofyzikální informace,geophysical information
geofyzikální průzkum,geophysical survey
geografická data,geographical data
geografická databáze,geographical database
geografická kartografie,geographical cartography
geografické informace,geographical information
geografické informační systémy,geographic information systems
geografické jméno,geographical name
geografické myšlení,geographic thinking
geografické členění slovanů,geographical division of the Slavs
geografický prostor,geographical space
geografický realismus,realistic geography
geografie,geography
geografie krajiny,landscape geography
geografie náboženství,geography of religion
geografie obchodu,trade geography
geografie obyvatelstva,population geography
geologická doba,geological era
geologická kartografie,geological cartography
geologická katastrofa,geological disaster
geologická mapa,geological map
geologická sbírka,geological collection
geologická sonda,geological trench
geologická vrstva,geological layer
geologická/přirozená vrstva,natural/geological layer
geologické informace,geological information
geologické mapování,geological mapping
geologické těleso,geologic body
geologický průzkum,geological survey
geologický vrt,geological core sample
geologický vývoj země,geological history of the Earth
geologický výzkum,geological research
geologie,geology
geomagnetismus,geomagnetism
geomancie,geomancy
geomikrobiologie,geomicrobiology
geomorfologický útvar,geomorphological feature
geomorfologie,geomorphology
georadar,ground-penetrating radar
geosféra,geosphere
gepidové,Gepids
geranos,mechane
germáni,Germanic people
germánie,Germania
germánská archeologie,Germanic archeology
germánská kultura,Germanic culture
germánská magie,Germanic magic
germánská mytologie,Germanic mythology
germánské jazyky,Germanic languages
germánské kmeny,Germanic tribes
germánské náboženství,Germanic religion
gerontokracie,gerontocracy
ghana,Ghana
gibraltar,Gibraltar
gibraltarský průliv (oblast),Strait of Gibraltar
gilbertini,Gilbertines
glaciologie,glaciology
glaciální relikt,glacial relict
glaciální sedimentace,glacial deposition
gladiátor,gladiator
gladiátorské hry,gladiatorial games
glazovaná keramika,glazed ceramic ware
globalizace,globalisation
globální oteplování,global warming
glosář,glossary
glottochronologie,glottochronology
gnosticismus,gnosticism
gnóze,gnosis
gombík,spherical button
gorice a gradiška,Gorizia and Gradisca
gotická architektura,gothic architecture
gotická desková malba,gothic panel painting
gotická nástěnná malba,gothic mural painting
gotické malířství,gothic painting
gotické sochařství,gothic sculpture
gotické umění,gothic art
gotický oltář,gothic altar
gotický portál,gothic doorway
gps (navigační systém),global positioning system
graduál,gradual
graffito,graffiti
grafická technika,printmaking techniques
grafik,printmaker
grafit,graphite
grafička,printmaker (female)
granada,Granada
granulace,granulation
gravettien,Gravettian
gravimetrie,gravimetry
gregoriánský kalendář,Gregorian calendar
grenada,Grenada
grešle,groschen
groma,groma
groteska (malba),grotesque (painting)
grotta,grotto
gruzie,Georgia
gruzínské písmo,Georgian script
grónsko,Greenland
guadeloupe,Guadeloupe
guam,Guam
guatemala,Guatemala
guernsey,Guernsey
guinea,Guinea
guinea-bissau,Guinea-Bissau
guttae,guttae
guyana,Guyana
gymnasion,gymnasium
gávská kultura,Gáva culture
gétové,Getae
gótové,Goths
gótština,Gothic language
habsburkové,House of Habsburg
habáni,Habans
habánská fajáns,Haban faience
hadriánův val,Hadrian's Wall
had–lta,HaD–LtA
haeduové,Haedui
hagiografie,hagiography
haiti,Haiti
halič,Galicia
haličsko-volyňské knížectví,Kingdom of Galicia–Volhynia
haltýř,spring house
halštatská kultura,Hallstatt culture
halštatská mohylová kultura,Hallstatt Tumulus Culture
hamr,hammer mill
happening (umění),happening (art)
harfa,harp
harpuna,harpoon
hatvanská kultura,Hatvan Culture
havárie/stavební narušení,accident/building disruption
hať,corduroy road
heardův ostrov a macdonaldovy ostrovy,Heard Island and McDonald Islands
hebrejské písmo,Hebrew script
hedvábná cesta (obchodní stezka),Silk Road
hedvábí,silk
hekatompedon,hekatompedon temple
helladská kultura,Helladic period
hellas,Hellas
helvetiové,Helvetii
helvetská konfese,Helvetic Confession
helénismus,Hellenism
helénistické náboženství,Hellenistic religion
helénská mytologie,Hellenistic mythology
helénští bohové,Hellenistic gods
heraldika,heraldry
hercynský les,Hercynian Forest
heretik,heretic
hereze,heresy
hermovka,herma
hermunduři,Hermunduri
herní předmět,game equipment
herulové,Heruli
hesensko,Hesse
heterodoxie,heterodoxy
heuristika,heuristic
hieratické písmo,hieratic script
hieroglyfy,hieroglyphics
himation,himation
hinduismus,Hinduism
hipodrom,hippodrome
hispánie,Hispania
historická antropologie,historical antropology
historická archeologie,historical archaeology
historická budova/komplex,historical building/complex
historická chronologie,historical chronology
historická demografie,historical demography
historická geografie,historical geography
historická geologie,historical geology
historická hydrologie,historical hydrology
historická kartografie,historical cartography
historická keramika,historical pottery
historická lingvistika,historical linguistics
historické muzeum,historical museum
historické oblasti a státní útvary,historical regions and state departments
historický místopis,historical topography
historický pramen,historical source
historiografická periodizace,historiographic periodization
historiografie,historiography
historiografie umění,art historiography
historismus,historicism
hladítko,smoother
hlaholice,Glagolitic alphabet
hlaholské nápisy,Glagolitic inscriptions
hlasatelská berla,caduceus
hlavní město,capital city
hliník,clay pit
hliněná destička,clay tablet
hlubinný důl,underground mine
hlubokomořská rovina,abyssal plain
hlučínsko,Hlučín Region
hlušina,gangue
hlášení,brief report
hlína,clay
hmotnostní spektrometrie,mass spectrometry
hmotnostní spektrometrie s indukčně vázaným plazmatem,inductively coupled plasma mass spectrometry
hmotnostní spektrometrie s indukčně vázaným plazmatem a laserovou ablací,inductively coupled plasma mass spectrometry with laser ablation
hmotný pramen,Material Source
hodina,hour
hodinky (modlitební knihy),books of hours
hodiny,clock
hodinář,watchmaker
hodinářství,watch making
hodometr,hodometron
holocén,holocene
holštýnsko,Holstein
homeopatická magie,Homeopathic magic
homo antecessor,Homo antecessor
homo erectus,Homo erectus
homo ergaster,Homo ergaster
homo habilis,Homo habilis
homo heidelbergensis,Homo heidelbergensis
homo naledi,Homo naledi
homo neanderthalensis,Homo neanderthalensis
homo sapiens,Homo sapiens
honduras,Honduras
hongkong,Hong Kong
horizont (archeologie),horizon (archaeology)
horizont osídlení,settlement layer
horizontální stratigrafie,horizontal stratigraphy
hornická geologie,mining geology
hornické muzeum,mining museum
hornické sídliště,mineworkers´ settlement
hornictví,mining
hornina,rock
horninotvorný minerál,rock-forming mineral
hornodunajská popelnicová pole,Upper Danube Urnfield culture
horní falc,Upper Palatinate
horní město,mining town
horní právo,mining law
horní rakousko,Upper Austria
horní regál,Bergregal
horní slezsko,Upper Silesia
horník,miner
horská silnice,mountain road
horákovská kultura,Horákov Culture
hospodářská budova,farm building
hospodářská písemnost,business document
hospodářské dějiny,economic history
hospodářské poměry,economic conditions
hostinec,inn
hovorová baskičtina,colloquial Basque
hovorová bretonština,colloquial Breton
hovorová irština,colloquial Irish
hovorová mongolština,colloquial Mongolian
hovorová velština,colloquial Welsh
hrací kamen,gaming piece
hrací kostka,dice
hrací kámen,game piece
hrad,castle
hradba,defensive wall
hradiště,hillfort
hradní architektura,castle architecture
hraniční obory,cross-bordering disciplines
hrazené sídliště,enclosed settlement
hrazený areál,enclosure
hračka,toy
hrnec,pot
hrnčíř,potter
hrnčířská pec,pottery kiln
hrnčířská značka,factory mark
hrnčířský kruh,potters wheel
hrnčířský výrobek,pottery product
hrnčířství,potteries
hrob,grave
hrob komorový,chamber grave
hrob skříňkový,cist grave
hrobka,tomb
hrot,point
hrot kopí,spearhead
hrot oštěpu,spearhead
hrot šipky,crossbow bolt
hrot šípu,arrowhead
hrot/hák,spike/hook
hrádek,fortified manor
hráz,embankment/dam
hrázděná stavba,half-timbered building
hudební folklor,musical folklore
hudební nástroj,musical instrument
humanistická geografie,human geography
humanistické písmo,humanistic script
hunové,Huns
hunská říše,Hunnic Empire
husitská liturgie,Hussite liturgy
husitství,Hussitism
hutnická pec,iron-smelting furnace
hutník,smelterman
hyberni,Irish Franciscans
hydria,hydria
hydrogeografie,hydrogeography
hydrogeologie,hydrogeology
hydrologická mapa,hydrological map
hydrologický model,hydrological model
hydrologie,hydrology
hydrometrie,hydrometry
hydrosféra,hydrosphere
hádanka,riddle
hák,hook
héróon,heroon
hřbitov,cemetery
hřbitovní kaple,cemetery chapel
hřeb,spike
hřeb/hřebík/nýt,nail/rivet
hřeben,comb
hřebík,nail
hřivna,ingot
ianus quadrifrons,Arch of Janus
iberorománština,Ibero-Romance
iberové,Iberians
iberská kultura,Iberian civilization
iberština,Iberian
identita,identity
idól,idol
ignaciánská spiritualita,Ignatian spirituality
ikona,icon
ikonografie,iconography
ikonoklasmus,iconoclasm
ikonologie,iconology
iliacae tabulae,Tabula Iliaca
iluminace prvotisků,illumination of incunabula
iluminace rukopisu,illumination of manuscript
iluminace rukopisů,illumination of manuscripts
iluminátor,illuminator
iluminátorka,woman illuminator
ilustrace,illustration
ilustrátor,illustrator
ilustrátorka,woman illustrator
ilyrové,Illyrians
ilyrská literatura,Illyrian literatur
ilyrské etnika a kmeny,Illyrian ethnic groups and tribes
ilyrské provincie,Illyrian Provinces
ilyrština,ancient Illyrian
ilýrie,Illyria
imaginativní geografie,imaginative geography
impluvium,impluvium
import,import
impresionismus,impressionism
improvizace,improvisation
in antis,distyle in antis
indie,India
indo-evropská mytologie,Indo-European mythology
indoevropané,Indo-Europeans
indoevropské jazyky,Indo-European languages
indoevropština,Proto-Indo-European
indonésie,Indonesia
industrializace,industrialization
industrie,industry
industriál,Industrial
industriální období,Industrial Period
industriální období 1,Industrial Period 1
industriální období 2,Industrial Period 2
industriální společnost,industrial society
informátor,informant
infračervená spektroskopie,infrared spectroscopy
ingot,ingot
inkolát,inkolat
inkrustace,incrustation
inlej,inlays
insignie,insignia
insubrové,Insubres
insula,insula
intarzie,intarsia
integrální antropologie,integral anthropology
interlokutor,interlocutor
interpretace textů,interpretation of texts
interpretace uměleckého díla,art interpretation
intruze,intrusion
investorská zpráva,client report
inženýrsko-geologický průzkum,engineering-geological survey
inženýrská síť,infrastructure network
inženýrské sítě,engineering networks
ionské moře,Ionian Sea
irsko,Ireland
irská mytologie,Irish mythology
irák,Iraq
irština,Irish language
isaurové,Isauri
island,Iceland
islám,Islam
islámská architektura,Islamic architecture
isthmos (řecko),Isthmus
istrijský poloostrov (chorvatsko a slovinsko),Istria
itala,itala
italikové,Italic peoples
italština,Italian
itinerář,itinerarium
itálie,Italy
izolovaný pohřeb,isolated grave
izotopový výzkum,isotopic analysis
izrael,Israel
iónie (turecko),Ionia
iónové,Ionians
iónské povstání (499-494 př. kr.),Ionian Revolt
iónské umění,Ionian art
iónský stavební řád,ionic order
jadeit,jadeite
jaderské moře,Adriatic Sea
jagellonci,Jagiellonian dynasty
jahve,Yahweh
jamajka,Jamaica
jamkový email,champlevé
jan křtitel,John the Baptist
jansenismus,Jansenism
jantar,amber
jantarová stezka (obchodní stezka),Amber Road
japonsko,Japan
jarní a velikonoční obyčeje,Spring and Easter traditions
jaroměř,Jaroměř
jaspis,jasper
jastorfská kultura,Jastorf culture
jatka,slaughterhouse
javorské knížectví,Duchy of Jawor
jazygové,Iazyges
jazyk setu,Seto dialect
jazykové vlivy (církevněslovanské),language influence of Church Slavic
jazykový znak,language sign
jazyky v itálii,Italic languages
jehelník,pincushion
jehla,needle
jehla/špendlík,needle/pin
jehlice,clothing pin
jehličnatý les,coniferous forest
jemen,Yemen
jersey,Jersey
jeruzalémské sestry,Sisters of The Teutonic order
jeruzalémští bratři,Teutonic Knights
jeskynní hrad,cave castle
jeskynní malba,cave painting
jeskyně,cave
jeskyně/skalní prostor,cave/abri
jevišovická kultura,Jevišovice Culture
jez,weir
jezdectvo,cavalry
jezero,lake
jezuitská spiritualita,Jezuit spirituality
jezuité,Jesuits
ječmen,barley
ježíš kristus,Jesus
jihlava-henčov,Jihlava-Henčov
jiná aktivita,other activity
jiná evidence,other evidence
jiná organizace,other organisation
jiná událost,other event
jiné expertní zpracování,other expert analysis
jiný kontext,other context
jiný materiál,other material
jiný podnět,other motivation
jiný text,other text
jiný zdroj,other source
jirchářství,curriers
jisté (> 95 %),certain (> 95%)
jičín,Jičín
jižní afrika,South Africa
jižní georgie a jižní sandwichovy ostrovy,South Georgia and the South Sandwich Islands
jižní slované,Southern Slavs
jižní súdán,South Sudan
jordanovská kultura,Jordanów Culture
jordán (řeka),Jordan River
jordánsko,Jordan
josefínský katastr,Josephine Cadastre
judaismus,Judaism
judea,Judaea
juliánský kalendář,Julian calendar
jutové,Jutes
jutský poloostrov,Jutland Peninsula
jáma,pit
jáma kůlová/sloupová,stakehole/posthole
jáma odpadní/jímka,waste pit/cesspit
jáma stavební,construction pit
jáma zásobní,storage pit
jámová kultura,Yamnaya culture
jídlo,food
jíl,loam
jílový minerál,clay mineral
jízdní lučistníci,mounted archers
kabeirion,cabeirion
kachel,stove tile
kadlub,mold
kajmanské ostrovy,Cayman Islands (the)
kalenderberská kultura,Kalenderberg culture
kalendář,calendar
kalendářní cyklus,calendar cycle
kalendářní měsíc,month
kalendářní obyčej,Calendar customs
kalich,goblet
kalotypie,calotype
kalvárie,calvary
kalábrie (itálie : kraj),Calabria
kamaldulové,Camaldolese
kambodža,Cambodia
kamej,cameo
kamenická značka,masons' mark
kamenictví,stonemasonry
kamenina,stoneware
kamenná industrie,lithics
kamenné jádro,stone core
kamenný kříž,stone cross
kamenolom,stone quarry
kamenosochařství,stone sculpture
kameník,stonemason
kamerun,Cameroon
kamna,stove
kamnář,stove maker
kamnářství,stovemaking
kampánie (itálie : kraj),Campania
kanada,Canada
kanalizace,sewer
kanaán,Canaan
kancionál,hymnal
kanelura,fluting
kanonizace,canonization
kanopa,canopic jars
kanovník,canon
kantabrové,Cantabri
kantharos,kantharos
kanál/náhon,channel/millrace
kapitula,chapter house
kaple,chapel
kappadokie (turecko),Cappadocia
kaptorga,kaptorga (metal pendant case)
kapucínský klášter,Capuchin monastery
kapverdy,Cape Verde
karaismus,Karaism
kardinál,cardinal
karelové,Karelians
karelská literatura,Karelian literature
karelská poezie,Karelian poetry
karelština,Karelian
kargopolská kultura,Kargopol culture
karlovci,Carolingian dynasty
karlovy vary,Karlovy Vary
karmelitky,Carmelite nuns
karmelitáni,Carmelites
karmelitánská spiritualita,Carmelite spirituality
karmelitánský klášter,Carmelite monastery
karneval,carnival
karolinská renesance,Carolingian Renaissance
karolinská říše,Carolingian Empire
karolinské písmo,Caroline minuscule
karolinské umění,Carolingian art
karpatská mohylová kultura,Carpathian Tumuli culture
karpatská popelnicová pole,Carpathian Urnfield culture
karpové,Carpi
karroballista,carroballista
kartografie,cartography
karton,cardboard
kartuziánská spiritualita,Carthusian spirituality
kartuziánský klášter,Carthusian monastery
kartágo (zaniklé město),Carthage
kasie,casia
kasta,caste
kastelologie,castellology
kastilie,Castile
kasárna,barracks
katakombní kultura,Catacomb culture
katakomby,catacombs
katalog (starověké řecko),katalogos (Greek antiquity)
katalánsko,Catalonia
katapult (zbraně),catapult
katar,Qatar
katastr nemovitostí,cadastre
katastrální mapa,cadastral maps
katastrální území,cadastral area
kataři,Cathari
katedrála,cathedral
kategorizace a klasifikace,categorization and classification
katolická liturgie,Catholic liturgy
katolický klášter,Catholic monastery
katolický kněz,Catholic priest
katolický kostel,Catholic church
kavkaz (pohoří : oblast),Caucasus Mountains
kazachstán,Kazakhstan
kazetový strop,coffered ceiling
kačkar,khachkar
kašna,fountain
kefalometrie,cephalometry
keltiberové,Celtiberians
keltové,Celts
keltská astrologie,Celtic astrology
keltská etnika a kmeny,Celtic ethnic groups and tribes
keltská hudba,Celtic music
keltská kultura,Celtic culture
keltská literatura,Celtic literature
keltská magie,Celtic magic
keltská mytologie,Celtic mythology
keltská poezie,Celtic poetry
keltská pohádka,Celtic fairy tale
keltská symbolika,Celtic symbolism
keltské jazyky,Celtic language
keltské křesťanství,Celtic Christianity
keltské náboženství,Celtic religion
keltské oppidum,Celtic oppidum
keltské pověsti,Celtic legends
keltské umění,Celtic art
keltský horoskop,Celtic horoscope
keltský ritus,Celtic rite
keltský stromokruh,Celtic tree calendar
kenotaf,cenotaph
kenozoikum,cenozoic
keramická barva,ceramic colour
keramická glazura,ceramic glaze
keramická surovina,ceramic raw material
keramický materiál,ceramic material
keramický pigment,ceramic pigment
keramik,ceramist
keramika,ceramic
keramika fajáns/majolika,faience/maiolica
keramika kamenina,stoneware
keramika porcelán,porcelain
keramika terra sigillata,terra sigillata ware
keramička,woman ceramist
keras,keras
keňa,Kenya
kilíkie (turecko),Cilicia
kimbrové,Cimbri
kimmerijci,Cimmerians
kinantropologie,kinanthropology
kinofilm (24 x 36 mm),cine film (24 x 36 mm)
kipčačtina,Kipchak
kiribati,Kiribati
kithara,kithara
kladivo,hammer
kladivo/palice,hammer/sledgehammer
kladno,Kladno
klan,clan
klapačka (nožní),scabellum
klapačka (ruční),crotalum
klaristky,Clares
klaristky kapucínky,Poor Clares
klasicismus,classicism
klasická archeologie,classical archaeology
klasické členění (genetika),classical classification
klenba,vaults
kleště,pliers
klima,climate
klimatická změna,climate change
klimatické podmínky,climatic conditions
klimatické pásmo,climatic zone
klimatologie,climatology
klobouk,hat
klášter,monastery
klášter benediktinek,Benedictine nunnery
klášter brigitinek,Bridgettine nunnery
klášter cisterciaček,Cistercian nunnery
klášter dominikánek,Dominican nunnery
klášter kamaldulů,Camaldolese monastery
klášter klaristek,monastery of Clares
klášter křížovníků,monastery of Knights of the Cross
klášter mariánů,monastery of Marian Fathers
klášter servitů,Servite monastery
klášter voršilek,monastery of Ursulines
klášterní kronika,monastic chronicle
klín,wedge
klínopisná tabulka,cuneiform tablet
klínové písmo,cuneiform
klíné,kline
klíč,key
klíčový informátor,Key informant
kmen,tribe
kniha,book
knihař,bookbinder
knihařství,bookbinding
knihkupec,bookseller
knihkupkyně,woman bookseller
knihovna,library
knižní ilustrace,illustration of books
knižní obchod,bookstore
knoflík,button
knoflíkář,button making
knovízská kultura,Knovíz Culture
knížectví,principality
knížecí hrob,princely grave
kněz,priest
kněžka,priestess
kněžská spiritualita,priest’s spirituality
kobanská kultura,Koban culture
koberec,carpet
kobylská skupina,Kobyly Group
kodex,codex
kodikologie,codicology
koflík,cup
kognitivní archeologie,cognitive archaeology
kognitivní psychologie,cognitive psychology
kojenecká úmrtnost,infant mortality
kokosové (keelingovy) ostrovy,Cocos (Keeling) Islands (the)
kolchida,Colchis
kolektivní paměť,collective memory
kolektor,collector
kolonie,colony
kolonizace,colonization
kolumbie,Colombia
kolumbárium,columbarium
kolářství,wheel making
kolín,Kolín
komenda,commandery
komi (etnická skupina),Komi peoples
kominíctví,chimney sweeping
komorový hrob,chamber tomb
komory,Comoros (the)
komparativní lingvistika,comparative linguistics
komparativní religionistika,comparative religion
komparativní výzkum,comparative research
kompendium,compendium
komplexní výzkum,comprehensive research
kompozice (umění),composition (art)
komunikace,transportation activity
komunita,community
komunita (sociologie),community (sociology)
konchologie,conchology
koncil,council
konference,conference
konfese (vyznání),religious confession
konfesionalizace,confessionalisation
konfesní rozdělení,confessional division
konfiguracionistická antropologie,configurationism
konkláve,conclave
konkordát,concordat
konkrétní (společenské třídy),concrete (social class)
konkávní plocha,concave surface
konstituční monarchie,constitutional monarchy
konstrukce cihlová,brick structure
konstrukce dlaždicová,tiled structure
konstrukce dřevěná,wooden structure
konstrukce hrázděná,half-timber construction
konstrukce kamenná,stonework
konstrukce kůlová/sloupová,post-and-beam structure
konstrukce roubená,log construction
konstrukce sypaná/vršená,earth construction
konstrukce zahloubená,sunken structure
konstrukce zděná,masonry construction
konstrukční prvek,architectural element
kontaktní magie,contagious magic
kontextuální analýza,contextual analysis
kontrakultura,counterculture
konvence (umění),convention (art)
konvexní plocha,convex surface
konvice,pitcher
konzervace,conservation
konzervace a restaurování,conservation and restoration
konzervování muzejních exponátů,conservation of museum exhibits
konzervování památek,antiquities conservation
konzervátorsko-restaurátorské metody,conservation-restoration methods
konírna,horse barn
konšel,town councillor
konžská demokratická republika,Congo (the Democratic Republic of the)
konžská republika,Congo (the)
kopie,facsimile
kopiář,copybook
koptové,Copts
kopí,spear
kopí/hrot kopí,spear/spearhead
korejská lidově demokratická republika,Korea (the Democratic People's Republic of)
korejská republika,Korea (the Republic of)
korespondence,correspondence
korespondeční analýza,correspondence analysis
korfu (řecko : ostrov),Corfu
korintský stavební řád,corinthian order
kornština,Cornish
koroplastika,greek terracotta figurine
koroze,corrosion
korsika (francie),Corsica
korunovace,coronation
korunovační insignie,coronations insignia
korutanské vévodství,Duchy of Carinthia
korál,coral
korálek,bead
koré,kore
kosa,scythe
kosovo,Kosovo
kost,bone
kost lidská,human bone
kost zvířecí,animal bone
kostarika,Costa Rica
kostel,church
kostelní věž,church tower
kosterní pozůstatky člověka,human remains
kosterní pozůstatky živočichů,animal remains
kostnice,ossuary
kostra,skeleton
kostrový hrob,skeleton grave
kotel,cauldron (kotel/Kessel)
kotel/kotlík,kettle
kotinové,Cotini
kotlář,boilermaker
kotlík,cauldron (kotlík/Becken)
kotylé,kotyle
kouzelník,magician
kov,metal
kov barevný,nonferrous metal
kovadlina,anvil
kovolijectví,art casting
kovolitecká pec,foundry
kovorytectví,metal engraving
kovotepectví,metalworking
kovová plastika,metal sculpture
kování,mount
kovárna,blacksmith
kovář,blacksmith
kovářská výheň,forge
kovářský výrobek,blacksmith’s product
kovářství,blacksmithing
koza,goat
kočovník,nomad
koňský postroj,horse trappings
koření,spice
košíkářství,basketmaking
koželuh,tanner
koželužství,tannery
kožená knižní vazba,leather binding
kožešina,fur
kožešník,furrier
krajina,landscape
krajinná archeologie,landscape archaeology
krakow,Krakow
krakow-balice,Krakow-Balice
kraniometrie,craniometry
kras,karst
krasová oblast,karst area
krasový útvar,karst form
kraňsko,Carniola
kraňské vévodství,Duchy of Carniola
krb,fireplace
krejcar,kreuzer
krejčovství,tailors trade
krejčí,tailor
kresba,drawing
kresba předmětu,object drawing
kresebná dokumentace,drawn documentation
krev,blood
kritika (vědecká metodologie),critics (scientific methodology)
kromlech,cromlech
kronika,chronicle
kronikář,chronicler
kronikářka,woman chronicler
kronikářství,chronicles
kroužek,ring (kroužek/Ring)
kroužek/kruh,circle/ring
kroužková zbroj,mail armour
krov,truss
krucifix,crucifix
krumlovien,Krumlovian
krumpáč,pickaxe
kružba,tracery
krvavá oběť,blood sacrifice
krypta,crypt
kryptoportikus,cryptoporticus
královská falc,palatinate
královské město,royal town
královský palác,royal palace
království obojí sicílie,Kingdom of the Two Sicilies
krám,shop
krátér,krater
kréta (řecko : ostrov),Crete
krétské hieroglyfické písmo,Cretan hieroglyphic script
kuba,Cuba
kubismus (umění),cubism
kuchařský recept,recipe
kuchyňská sůl,table salt
kuchyňské nádobí,cookware
kujavsko,Kujawy
kulička,marble
kulička/koule,ball/sphere
kult,ritual activity
kult předků,ancestor cult
kult svatých,Veneration
kultovní areál,ritual site
kultovní místo,ritual place
kultovní/sakrální objekt,ritual/sacral feature
kultura,culture
kultura (etnologie),culture (ethnology)
kultura billendorfská hac,Billendorf Culture (HaC)
kultura chlopice-veselé,Chlopice-Veselé Culture
kultura chłopice-veselé,Chlopice-Veselé culture
kultura dřevených srubů,Srubnaya culture
kultura kosihy-čaka,Kosihy-Čaka Culture
